,kinetics_class,original_score,perturbated_score
330,squat,6.6608286e-12,4.211242e-13
331,sticking tongue out,3.2262653e-09,6.048361e-10
332,stomping grapes,2.731126e-10,1.3772636e-10
333,stretching arm,1.326852e-10,2.3028374e-11
334,stretching leg,5.5344684e-10,3.21874e-08
335,strumming guitar,7.903027e-11,9.859727e-12
336,surfing crowd,5.7325766e-10,3.8043955e-09
337,surfing water,5.750825e-09,2.2189097e-06
338,sweeping floor,1.6438677e-05,5.815352e-05
339,swimming backstroke,1.558641e-10,2.0394635e-09
340,swimming breast stroke,5.4566855e-13,1.0748683e-11
341,swimming butterfly stroke,8.1649305e-11,1.7760751e-09
342,swing dancing,2.1947714e-11,6.40078e-11
343,swinging legs,3.5945145e-09,2.2762148e-09
344,swinging on something,1.5005593e-08,4.65066e-08
345,sword fighting,2.4934797e-08,1.5907612e-09
346,tai chi,1.8917162e-10,2.2103644e-10
347,taking a shower,2.514046e-09,1.3589773e-09
348,tango dancing,1.1777593e-09,1.2631674e-08
349,tap dancing,1.0373878e-10,1.7813896e-11
350,tapping guitar,3.152343e-11,2.6325423e-11
351,tapping pen,3.28448e-13,1.5862882e-14
352,tasting beer,1.1293347e-10,3.9409472e-11
353,tasting food,7.301455e-11,9.275143e-11
354,testifying,4.687777e-11,2.2371733e-11
355,texting,2.7775688e-08,2.9082887e-08
356,throwing axe,5.9984404e-09,2.5336297e-10
357,throwing ball,8.17442e-07,1.6940875e-08
358,throwing discus,1.1439777e-09,7.577779e-11
359,tickling,2.6928845e-10,5.455439e-10
360,tobogganing,4.8899847e-07,0.9981812
361,tossing coin,7.56342e-11,2.4301305e-10
362,tossing salad,1.1591013e-10,1.8642188e-11
363,training dog,0.0034243083,0.00035952497
364,trapezing,1.1233328e-09,3.5730316e-10
365,trimming or shaving beard,2.0123027e-12,3.9133688e-14
366,trimming trees,3.1766645e-09,3.5201603e-10
367,triple jump,7.917647e-11,5.020708e-10
368,tying bow tie,3.644527e-11,9.9837985e-11
369,tying knot (not on a tie),4.9976256e-12,5.949455e-11
370,tying tie,1.4276264e-10,2.697529e-10
371,unboxing,1.6982636e-11,5.045095e-12
372,unloading truck,1.0770443e-08,4.0301398e-09
373,using computer,3.9923395e-10,1.5338827e-11
374,using remote controller (not gaming),1.6778189e-07,4.7642465e-07
375,using segway,1.8634388e-07,3.1361924e-09
376,vault,1.865722e-11,2.1857131e-10
377,waiting in line,8.820572e-10,4.778209e-10
378,walking the dog,0.028410492,0.00035136542
379,washing dishes,1.8663163e-11,4.038384e-11
380,washing feet,3.060119e-12,4.0764423e-12
381,washing hair,2.81716e-10,2.1553963e-10
382,washing hands,4.6093903e-11,9.400235e-12
383,water skiing,4.4327422e-10,2.3528422e-08
384,water sliding,2.4742354e-08,1.0920441e-05
385,watering plants,9.0172385e-09,8.958339e-10
386,waxing back,4.2638268e-11,7.3984714e-11
387,waxing chest,4.538887e-12,4.429242e-12
388,waxing eyebrows,2.274504e-12,3.7538184e-12
389,waxing legs,2.9191285e-12,2.3658393e-11
390,weaving basket,2.0585197e-11,4.943005e-12
391,welding,1.3520246e-12,3.0355417e-13
392,whistling,5.742396e-09,3.2609174e-10
393,windsurfing,6.5852906e-11,1.9444975e-08
394,wrapping present,4.7447272e-11,9.615716e-10
395,wrestling,2.1693701e-08,1.991682e-07
396,writing,3.210584e-11,4.6195776e-11
397,yawning,5.264212e-10,4.5360132e-10
398,yoga,6.50825e-10,3.7699683e-09
399,zumba,1.6607477e-10,1.7938219e-10
