,imagenet_class,original_score,perturbated_score
312,cricket,7.3562956e-09,1.5388634e-08
313,"walking stick, walkingstick, stick insect",5.9596705e-10,3.0903308e-10
314,"cockroach, roach",2.7385532e-09,9.479162e-09
315,"mantis, mantid",4.682986e-10,1.3953044e-09
316,"cicada, cicala",2.1429624e-08,1.4317851e-07
317,leafhopper,1.347713e-09,6.7644317e-09
318,"lacewing, lacewing fly",8.227982e-09,1.1325747e-07
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",3.8246212e-10,8.795297e-09
320,damselfly,6.804531e-11,7.689237e-09
321,admiral,1.225792e-09,8.4973294e-08
322,"ringlet, ringlet butterfly",1.750904e-08,5.0389776e-08
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",1.0856313e-09,4.2325834e-08
324,cabbage butterfly,1.1470752e-07,8.0406e-08
325,"sulphur butterfly, sulfur butterfly",1.3760151e-09,7.0195285e-09
326,"lycaenid, lycaenid butterfly",2.2048976e-08,4.4269632e-07
327,"starfish, sea star",4.689799e-09,1.3917834e-08
328,sea urchin,3.0148156e-10,2.5911015e-10
329,"sea cucumber, holothurian",4.0641672e-09,4.7082325e-09
330,"wood rabbit, cottontail, cottontail rabbit",4.564082e-06,1.0609392e-05
331,hare,6.265471e-06,0.00044310626
332,"Angora, Angora rabbit",1.1103741e-05,1.6221344e-05
333,hamster,2.1683665e-05,2.8468216e-06
334,"porcupine, hedgehog",3.4627753e-08,1.112167e-08
335,"fox squirrel, eastern fox squirrel, Sciurus niger",1.3767194e-06,2.113894e-06
336,marmot,1.2899256e-08,2.629655e-08
337,beaver,4.3230777e-08,1.1462771e-07
338,"guinea pig, Cavia cobaya",8.602519e-06,3.2297748e-06
339,sorrel,7.5066744e-11,1.1933095e-10
340,zebra,1.5243792e-06,1.6832914e-07
341,"hog, pig, grunter, squealer, Sus scrofa",2.920864e-08,9.222157e-09
342,"wild boar, boar, Sus scrofa",2.0714282e-08,3.7438195e-09
343,warthog,1.1015481e-09,3.8266104e-10
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",1.4213716e-09,1.034508e-09
345,ox,5.9985616e-09,2.2661261e-08
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",4.146647e-11,3.9775583e-10
347,bison,1.03182816e-10,1.326876e-09
348,"ram, tup",4.40903e-09,2.7378059e-08
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",2.415137e-10,1.2603915e-09
350,"ibex, Capra ibex",1.7872662e-09,4.088183e-08
351,hartebeest,4.1342714e-11,1.8745958e-09
352,"impala, Aepyceros melampus",6.38021e-10,1.4184031e-08
353,gazelle,1.6604907e-09,1.1489115e-07
354,"Arabian camel, dromedary, Camelus dromedarius",7.242765e-11,1.1941748e-10
355,llama,1.33398785e-08,3.5237753e-07
356,weasel,4.0651626e-06,8.595861e-06
357,mink,8.0836884e-07,3.9240138e-07
358,"polecat, fitch, foulmart, foumart, Mustela putorius",2.9230048e-06,5.865948e-07
359,"black-footed ferret, ferret, Mustela nigripes",3.5073613e-06,7.882272e-07
360,otter,6.5302736e-08,2.1321117e-08
361,"skunk, polecat, wood pussy",1.9139821e-05,2.0871337e-06
