,kinetics_class,original_score,perturbated_score
343,swinging legs,9.7331096e-05,0.00020750194
344,swinging on something,2.0996888e-06,4.405383e-07
345,sword fighting,0.0006744292,5.6622106e-05
346,tai chi,6.074127e-06,0.00016626519
347,taking a shower,1.9545148e-07,2.3986567e-08
348,tango dancing,3.6401498e-06,2.8747438e-05
349,tap dancing,0.0004100961,0.0023259793
350,tapping guitar,3.9433476e-07,3.2313199e-07
351,tapping pen,9.174791e-06,2.7179879e-06
352,tasting beer,1.8049615e-08,9.669108e-09
353,tasting food,4.4217634e-09,1.3246079e-09
354,testifying,2.276499e-08,2.2685825e-08
355,texting,4.2468505e-06,7.66307e-06
356,throwing axe,2.589299e-07,4.10482e-07
357,throwing ball,0.0029413053,8.9232795e-05
358,throwing discus,3.2102723e-09,2.2811077e-09
359,tickling,8.255382e-07,1.5052757e-08
360,tobogganing,4.3252447e-05,4.6456275e-06
361,tossing coin,8.9895497e-07,3.6968243e-07
362,tossing salad,1.7954571e-08,2.959094e-08
363,training dog,0.0006127062,5.3790604e-06
364,trapezing,2.5657833e-08,9.925842e-08
365,trimming or shaving beard,1.3910799e-06,1.5356894e-06
366,trimming trees,3.398106e-08,1.2032843e-09
367,triple jump,3.5481517e-07,3.5497074e-08
368,tying bow tie,9.565509e-06,4.461082e-06
369,tying knot (not on a tie),3.0654056e-07,2.2863478e-09
370,tying tie,1.7063073e-06,1.846238e-08
371,unboxing,2.3782903e-08,1.207057e-08
372,unloading truck,1.7085283e-06,1.9986167e-07
373,using computer,5.275879e-06,2.1852259e-07
374,using remote controller (not gaming),6.1800415e-07,5.652126e-07
375,using segway,5.95847e-05,2.681505e-06
376,vault,3.1378752e-07,5.266578e-09
377,waiting in line,8.40875e-06,1.4304953e-07
378,walking the dog,1.0792373e-05,7.961929e-08
379,washing dishes,2.0484447e-07,2.4612424e-07
380,washing feet,4.0719677e-08,6.945269e-09
381,washing hair,1.6117868e-07,7.206897e-09
382,washing hands,5.7951905e-07,1.0436216e-07
383,water skiing,7.477188e-07,2.1091097e-08
384,water sliding,4.0113887e-06,2.5309074e-08
385,watering plants,9.303456e-08,2.772967e-10
386,waxing back,4.134649e-06,1.914416e-06
387,waxing chest,1.9217305e-06,1.9517472e-07
388,waxing eyebrows,8.219014e-08,1.7787503e-08
389,waxing legs,2.8101e-07,4.2108578e-08
390,weaving basket,1.9527298e-09,1.2638068e-10
391,welding,6.695126e-08,1.0910261e-08
392,whistling,2.4661546e-07,8.533382e-07
393,windsurfing,1.35383535e-08,2.5448145e-08
394,wrapping present,5.0571043e-07,1.4329361e-06
395,wrestling,0.00018495526,1.3415085e-05
396,writing,2.0087562e-06,4.1882455e-08
397,yawning,2.8212208e-08,7.4338393e-09
398,yoga,7.871652e-08,2.5638064e-07
399,zumba,1.7593183e-06,1.2292735e-06
