,kinetics_class,original_score,perturbated_score
315,sled dog racing,1.2949934e-12,9.290939e-11
316,smoking,5.1682277e-11,0.004039303
317,smoking hookah,1.2561978e-11,0.9949633
318,snatch weight lifting,6.070592e-12,1.9762364e-10
319,sneezing,5.299467e-10,5.095697e-07
320,sniffing,7.011573e-12,4.638519e-10
321,snorkeling,0.11396364,6.2078543e-06
322,snowboarding,5.229029e-11,4.0028655e-10
323,snowkiting,1.6555355e-12,1.2985267e-10
324,snowmobiling,2.838278e-10,5.955525e-09
325,somersaulting,6.592533e-06,2.504133e-07
326,spinning poi,2.9084524e-10,6.8346755e-09
327,spray painting,4.9081894e-08,2.947968e-09
328,spraying,2.60079e-08,1.9353289e-08
329,springboard diving,0.00022449355,4.6727073e-06
330,squat,6.884023e-13,1.3115068e-11
331,sticking tongue out,6.29323e-12,1.6301728e-09
332,stomping grapes,4.9825534e-12,2.7332466e-12
333,stretching arm,1.2314562e-12,9.071711e-12
334,stretching leg,6.257481e-11,2.2291842e-10
335,strumming guitar,1.7031761e-11,1.5941162e-11
336,surfing crowd,5.9084887e-10,5.728432e-09
337,surfing water,3.716597e-07,3.631933e-05
338,sweeping floor,2.2207208e-11,1.6598024e-10
339,swimming backstroke,1.6681352e-06,1.5264097e-06
340,swimming breast stroke,1.234847e-06,3.210327e-07
341,swimming butterfly stroke,1.4722253e-06,0.00014999858
342,swing dancing,2.003275e-15,2.625982e-12
343,swinging legs,1.3012335e-11,1.1366675e-11
344,swinging on something,7.768195e-09,3.0694284e-08
345,sword fighting,1.2128274e-11,4.8621163e-11
346,tai chi,5.2711296e-10,2.1153894e-10
347,taking a shower,7.038754e-10,1.4286752e-08
348,tango dancing,4.0352625e-13,3.1820085e-10
349,tap dancing,1.6991055e-13,2.0999383e-12
350,tapping guitar,9.749985e-13,1.5929923e-10
351,tapping pen,1.4293155e-12,4.650591e-11
352,tasting beer,4.4384413e-13,1.1288636e-11
353,tasting food,1.8197965e-13,2.4706313e-11
354,testifying,6.5013977e-13,3.22297e-10
355,texting,8.901379e-11,6.1320077e-10
356,throwing axe,6.9220324e-10,1.4187082e-10
357,throwing ball,3.377252e-09,1.347549e-08
358,throwing discus,1.5511264e-11,3.2054286e-11
359,tickling,1.2891496e-13,2.0927352e-10
360,tobogganing,2.968063e-10,1.8027925e-09
361,tossing coin,1.876685e-10,6.5300947e-09
362,tossing salad,9.208136e-13,1.2310729e-09
363,training dog,1.1016832e-11,1.4023676e-09
364,trapezing,5.638609e-13,3.7880067e-11
365,trimming or shaving beard,8.521763e-11,5.5796373e-10
366,trimming trees,4.157392e-11,2.8403615e-11
367,triple jump,7.620475e-12,7.656607e-12
368,tying bow tie,1.1610882e-12,3.7851957e-12
369,tying knot (not on a tie),7.764513e-11,1.8899868e-10
370,tying tie,8.3498226e-13,8.246176e-12
371,unboxing,5.099316e-10,1.5266897e-09
372,unloading truck,2.0462337e-11,2.2885369e-11
373,using computer,2.6224756e-10,6.334184e-09
374,using remote controller (not gaming),2.5306466e-09,8.539952e-08
375,using segway,1.8779613e-12,6.156236e-12
376,vault,2.1249459e-13,1.6404673e-11
377,waiting in line,2.8124204e-11,5.647368e-10
378,walking the dog,6.39628e-10,1.7681064e-08
379,washing dishes,1.9765264e-10,7.108971e-09
380,washing feet,2.3123512e-13,1.6885526e-11
381,washing hair,2.452521e-12,1.2584338e-10
382,washing hands,3.5659694e-11,1.5131334e-10
383,water skiing,6.128313e-10,1.4528491e-08
384,water sliding,1.7068683e-06,1.1767715e-05
385,watering plants,3.7358588e-10,6.2219385e-09
386,waxing back,1.3668716e-10,1.5553578e-10
387,waxing chest,1.8266151e-10,8.396133e-10
388,waxing eyebrows,1.07679725e-11,3.3835545e-11
389,waxing legs,1.6524603e-11,2.6198912e-10
390,weaving basket,1.8733597e-13,4.6686305e-12
391,welding,3.9664838e-10,1.7952572e-09
392,whistling,1.8485838e-10,6.9124444e-09
393,windsurfing,7.670856e-09,9.377853e-08
394,wrapping present,4.8155056e-12,6.137318e-11
395,wrestling,6.047594e-12,1.4177828e-10
396,writing,2.7296793e-11,1.128434e-09
397,yawning,4.7456427e-12,6.7062494e-10
398,yoga,6.9193856e-12,1.0900199e-08
399,zumba,4.668708e-13,1.2634548e-11
