,imagenet_class,original_score,perturbated_score
292,"tiger, Panthera tigris",1.6450633e-09,4.4328283e-07
293,"cheetah, chetah, Acinonyx jubatus",5.9307483e-09,1.0366382e-06
294,"brown bear, bruin, Ursus arctos",3.9473125e-08,1.7826254e-05
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",9.4334e-08,5.233984e-05
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",3.1314322e-08,9.403366e-06
297,"sloth bear, Melursus ursinus, Ursus ursinus",6.201777e-09,5.9536815e-06
298,mongoose,1.6798083e-07,2.9247003e-05
299,"meerkat, mierkat",1.9412741e-07,1.8028662e-05
300,tiger beetle,1.8533626e-07,2.6381475e-05
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",7.3327215e-09,2.9119938e-06
302,"ground beetle, carabid beetle",1.7484751e-08,6.6764865e-06
303,"long-horned beetle, longicorn, longicorn beetle",3.5954147e-07,2.4934805e-05
304,"leaf beetle, chrysomelid",1.5721973e-08,1.25877405e-05
305,dung beetle,2.4611358e-08,3.4372786e-06
306,rhinoceros beetle,4.468943e-08,6.838906e-05
307,weevil,4.0462096e-09,2.1784278e-06
308,fly,1.313129e-08,3.1018048e-05
309,bee,2.1824174e-08,3.3445176e-05
310,"ant, emmet, pismire",1.9823072e-07,6.0865725e-05
311,"grasshopper, hopper",4.4959556e-06,4.2639163e-05
312,cricket,3.5026192e-06,9.032428e-05
313,"walking stick, walkingstick, stick insect",3.5000046e-06,5.6773526e-05
314,"cockroach, roach",2.3946353e-07,4.0460367e-05
315,"mantis, mantid",2.7144185e-06,0.00038352914
316,"cicada, cicala",6.187616e-07,4.6627636e-05
317,leafhopper,1.2457688e-08,6.645867e-06
318,"lacewing, lacewing fly",4.701157e-07,9.253707e-06
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",4.278287e-06,0.00011193703
320,damselfly,4.572826e-05,0.0002847735
