,imagenet_class,original_score,perturbated_score
257,Great Pyrenees,2.43105e-07,8.357975e-06
258,"Samoyed, Samoyede",5.7478644e-07,1.1569479e-05
259,Pomeranian,1.8068924e-07,4.5580764e-06
260,"chow, chow chow",6.440308e-08,1.8239547e-06
261,keeshond,9.114195e-08,2.2724305e-06
262,Brabancon griffon,9.940454e-08,1.6824608e-06
263,"Pembroke, Pembroke Welsh corgi",1.5582715e-07,6.3426123e-06
264,"Cardigan, Cardigan Welsh corgi",9.134592e-08,3.9955794e-06
265,toy poodle,2.0833392e-07,1.5436059e-05
266,miniature poodle,8.9532065e-08,5.00234e-06
267,standard poodle,7.588722e-07,7.133503e-06
268,Mexican hairless,5.444852e-08,1.1724989e-06
269,"timber wolf, grey wolf, gray wolf, Canis lupus",1.0338309e-07,2.0428863e-06
270,"white wolf, Arctic wolf, Canis lupus tundrarum",9.918182e-08,6.819236e-07
271,"red wolf, maned wolf, Canis rufus, Canis niger",2.6447108e-08,1.4664976e-06
272,"coyote, prairie wolf, brush wolf, Canis latrans",1.3682353e-07,1.5671495e-06
273,"dingo, warrigal, warragal, Canis dingo",1.2116288e-07,2.2943786e-06
274,"dhole, Cuon alpinus",3.2018402e-08,1.0679717e-06
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",5.457544e-09,1.7870862e-07
276,"hyena, hyaena",4.05027e-08,1.395071e-06
277,"red fox, Vulpes vulpes",1.0899589e-07,4.0023606e-06
278,"kit fox, Vulpes macrotis",2.6342443e-08,1.802179e-06
279,"Arctic fox, white fox, Alopex lagopus",1.4059188e-07,1.1832353e-06
280,"grey fox, gray fox, Urocyon cinereoargenteus",1.2257836e-07,3.26556e-06
281,"tabby, tabby cat",8.1673755e-07,3.945493e-05
282,tiger cat,4.8800473e-07,2.5923586e-05
283,Persian cat,3.663236e-07,2.570696e-05
284,"Siamese cat, Siamese",1.5371633e-07,3.7596063e-05
285,Egyptian cat,5.760382e-07,5.7532478e-05
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.4516657e-07,2.9588546e-06
287,"lynx, catamount",2.9762535e-07,1.0705276e-05
288,"leopard, Panthera pardus",3.2456424e-07,1.2914338e-06
289,"snow leopard, ounce, Panthera uncia",1.2101448e-07,5.210222e-07
290,"jaguar, panther, Panthera onca, Felis onca",1.2334681e-07,5.447247e-07
291,"lion, king of beasts, Panthera leo",5.4217832e-08,6.0364056e-07
292,"tiger, Panthera tigris",1.3382875e-07,8.823837e-07
293,"cheetah, chetah, Acinonyx jubatus",3.5442983e-07,4.0052128e-06
294,"brown bear, bruin, Ursus arctos",7.6477596e-07,1.335675e-06
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",3.3660461e-07,2.7909553e-06
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",5.947809e-06,9.617356e-06
297,"sloth bear, Melursus ursinus, Ursus ursinus",3.359509e-08,5.031787e-07
298,mongoose,1.482378e-07,2.039793e-06
299,"meerkat, mierkat",1.2397834e-07,3.3390686e-06
300,tiger beetle,1.17174324e-07,1.7429943e-06
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",5.2775025e-08,5.3870974e-07
302,"ground beetle, carabid beetle",8.237956e-08,6.1928404e-07
303,"long-horned beetle, longicorn, longicorn beetle",4.88636e-08,7.30759e-07
304,"leaf beetle, chrysomelid",2.3136627e-08,3.2695127e-07
305,dung beetle,1.5628173e-08,2.921159e-07
306,rhinoceros beetle,4.893159e-08,1.3678024e-06
307,weevil,6.9734426e-08,7.8153624e-07
308,fly,4.0596053e-08,5.182762e-07
309,bee,8.043057e-08,1.5001497e-06
310,"ant, emmet, pismire",8.8395325e-07,5.4759175e-06
311,"grasshopper, hopper",1.8962743e-07,7.3380006e-06
312,cricket,5.2387808e-08,1.8115805e-06
313,"walking stick, walkingstick, stick insect",3.838209e-08,2.1591754e-06
314,"cockroach, roach",1.8364052e-08,9.267625e-07
315,"mantis, mantid",9.9374535e-09,5.5584525e-07
316,"cicada, cicala",8.132663e-09,1.0844095e-07
317,leafhopper,6.4685213e-09,1.621092e-07
318,"lacewing, lacewing fly",8.855837e-08,1.3733141e-06
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",4.3526902e-07,3.902203e-06
320,damselfly,3.968711e-07,6.562246e-06
321,admiral,1.2564306e-07,5.2209907e-07
322,"ringlet, ringlet butterfly",3.6067437e-08,9.642262e-08
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",4.4009987e-08,1.2227073e-06
324,cabbage butterfly,1.1539082e-07,1.1457477e-06
325,"sulphur butterfly, sulfur butterfly",3.018339e-08,3.0017642e-07
326,"lycaenid, lycaenid butterfly",1.3880897e-06,2.4015203e-06
327,"starfish, sea star",4.3838663e-06,5.122926e-06
328,sea urchin,6.316356e-08,1.9509034e-06
329,"sea cucumber, holothurian",8.6009734e-08,4.3526717e-07
330,"wood rabbit, cottontail, cottontail rabbit",1.5527827e-07,9.765454e-06
331,hare,1.501608e-07,1.9219658e-06
332,"Angora, Angora rabbit",1.0956419e-07,1.2541076e-05
333,hamster,4.3099444e-08,4.5639217e-06
334,"porcupine, hedgehog",6.086058e-08,3.3113083e-06
335,"fox squirrel, eastern fox squirrel, Sciurus niger",3.09616e-07,3.2066764e-06
336,marmot,8.535147e-08,8.4816924e-07
337,beaver,7.1614586e-06,2.5621252e-05
338,"guinea pig, Cavia cobaya",2.1059832e-06,3.693586e-05
339,sorrel,1.5682998e-08,3.0197359e-07
340,zebra,9.197056e-08,6.0292655e-07
341,"hog, pig, grunter, squealer, Sus scrofa",8.9209806e-08,8.3863154e-07
342,"wild boar, boar, Sus scrofa",2.2677887e-07,1.5625322e-06
343,warthog,5.7512715e-08,9.890375e-07
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",1.0040097e-06,7.924224e-07
345,ox,3.7661675e-07,1.1598119e-06
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",2.2425065e-06,2.6337939e-06
347,bison,2.4387057e-07,1.1264162e-06
348,"ram, tup",1.0640488e-08,1.5081416e-07
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1.5575688e-07,4.6919038e-07
350,"ibex, Capra ibex",1.5055807e-08,5.6166055e-08
351,hartebeest,1.1640796e-08,1.1263554e-07
352,"impala, Aepyceros melampus",1.2953474e-07,5.839352e-07
353,gazelle,3.2165737e-08,2.933107e-07
354,"Arabian camel, dromedary, Camelus dromedarius",2.0115918e-07,1.0441199e-06
355,llama,2.4592092e-07,3.9126e-06
356,weasel,4.125126e-07,6.2054296e-06
357,mink,4.823419e-07,5.8319697e-06
358,"polecat, fitch, foulmart, foumart, Mustela putorius",2.3310795e-08,1.1273124e-06
359,"black-footed ferret, ferret, Mustela nigripes",2.2134168e-08,1.7111101e-06
360,otter,7.733406e-06,4.213588e-05
361,"skunk, polecat, wood pussy",7.5079434e-08,1.6111464e-05
362,badger,2.0986842e-07,1.321048e-05
363,armadillo,1.7140219e-07,2.6783691e-06
364,"three-toed sloth, ai, Bradypus tridactylus",1.29072495e-08,2.3211858e-07
365,"orangutan, orang, orangutang, Pongo pygmaeus",5.371481e-08,1.5066099e-06
366,"gorilla, Gorilla gorilla",1.5470461e-07,2.8203767e-06
367,"chimpanzee, chimp, Pan troglodytes",3.9944492e-08,1.2823313e-06
368,"gibbon, Hylobates lar",3.270563e-08,1.409244e-06
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",1.1691156e-07,2.199759e-06
370,"guenon, guenon monkey",2.6167823e-08,4.859514e-07
371,"patas, hussar monkey, Erythrocebus patas",1.0981206e-08,1.3684017e-07
372,baboon,1.6388834e-07,9.574532e-07
373,macaque,3.171824e-07,1.4235635e-06
374,langur,8.9000633e-07,3.1135742e-06
375,"colobus, colobus monkey",1.563855e-08,2.454054e-07
376,"proboscis monkey, Nasalis larvatus",4.6096567e-08,6.654532e-07
377,marmoset,2.2514316e-08,3.1418105e-07
378,"capuchin, ringtail, Cebus capucinus",1.8073791e-08,7.766051e-07
379,"howler monkey, howler",1.2874106e-08,1.0655193e-07
380,"titi, titi monkey",5.4918917e-08,1.3916043e-06
381,"spider monkey, Ateles geoffroyi",1.9718254e-08,3.3023062e-07
382,"squirrel monkey, Saimiri sciureus",7.2616233e-09,2.3247037e-07
383,"Madagascar cat, ring-tailed lemur, Lemur catta",1.5415043e-07,5.266013e-06
384,"indri, indris, Indri indri, Indri brevicaudatus",3.9401794e-08,3.632873e-07
385,"Indian elephant, Elephas maximus",2.2314333e-07,1.1206558e-06
386,"African elephant, Loxodonta africana",9.7682886e-08,9.99887e-07
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",7.7556095e-09,9.202514e-07
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",2.4769258e-07,1.1362565e-05
389,"barracouta, snoek",1.4602153e-06,1.4428683e-06
390,eel,1.4910148e-06,2.5491236e-06
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",3.804741e-07,1.7459622e-06
392,"rock beauty, Holocanthus tricolor",6.957941e-07,2.9282173e-06
393,anemone fish,3.4831024e-07,2.7246108e-06
394,sturgeon,4.607883e-07,8.700709e-07
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",3.1194702e-07,5.695126e-07
396,lionfish,1.0039676e-06,1.4437046e-05
397,"puffer, pufferfish, blowfish, globefish",1.2201944e-07,1.2159269e-06
398,abacus,6.7655933e-06,0.00044396135
399,abaya,1.514645e-06,2.0523661e-05
400,"academic gown, academic robe, judge's robe",8.0801095e-07,1.539488e-05
401,"accordion, piano accordion, squeeze box",2.5753411e-06,0.00066084944
402,acoustic guitar,8.5593165e-06,0.0002793055
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",0.00017772963,1.8015373e-05
404,airliner,2.7124901e-05,7.214675e-05
405,"airship, dirigible",3.4213863e-05,9.131967e-06
406,altar,0.00076529477,0.018152975
407,ambulance,1.3801533e-05,7.2120754e-05
408,"amphibian, amphibious vehicle",9.342802e-05,5.9904698e-05
409,analog clock,5.871021e-05,0.00044551137
410,"apiary, bee house",4.0219274e-07,5.1440065e-06
411,apron,2.3119212e-07,6.887782e-06
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",2.4754854e-05,0.0008044152
413,"assault rifle, assault gun",8.570858e-06,2.403423e-05
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",3.3365788e-07,1.8381417e-05
415,"bakery, bakeshop, bakehouse",4.7595768e-06,0.00016751818
416,"balance beam, beam",8.5812974e-07,1.3607006e-05
417,balloon,0.00015215336,0.00017490088
418,"ballpoint, ballpoint pen, ballpen, Biro",1.1947825e-06,2.3372617e-05
419,Band Aid,7.675115e-07,1.827288e-05
420,banjo,8.6250575e-06,0.00067309476
421,"bannister, banister, balustrade, balusters, handrail",5.1350976e-06,8.5122825e-05
422,barbell,9.808383e-08,1.9698682e-06
423,barber chair,1.8136307e-05,0.005027624
424,barbershop,1.0258864e-05,0.0020662006
425,barn,4.507076e-06,1.1509689e-05
