,imagenet_class,original_score,perturbated_score
366,"gorilla, Gorilla gorilla",3.1875874e-07,7.7739575e-09
367,"chimpanzee, chimp, Pan troglodytes",4.8221395e-06,2.9811898e-07
368,"gibbon, Hylobates lar",4.5639928e-07,5.5016823e-08
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",6.8931513e-07,3.7624343e-08
370,"guenon, guenon monkey",3.6140755e-06,1.0116575e-07
371,"patas, hussar monkey, Erythrocebus patas",2.787043e-07,3.5316564e-08
372,baboon,2.2225906e-07,2.383084e-08
373,macaque,4.3720725e-06,1.1565883e-07
374,langur,1.4516753e-06,5.7859786e-08
375,"colobus, colobus monkey",3.1447325e-07,9.583677e-09
376,"proboscis monkey, Nasalis larvatus",1.4031974e-07,3.696375e-08
377,marmoset,5.727661e-06,1.0915481e-07
378,"capuchin, ringtail, Cebus capucinus",8.925244e-07,1.06534564e-07
379,"howler monkey, howler",1.18062395e-07,3.4488834e-09
380,"titi, titi monkey",2.431794e-06,2.3981138e-07
381,"spider monkey, Ateles geoffroyi",4.7547533e-07,1.303794e-08
382,"squirrel monkey, Saimiri sciureus",2.9080015e-06,5.5835848e-08
383,"Madagascar cat, ring-tailed lemur, Lemur catta",5.735513e-05,4.4634038e-07
384,"indri, indris, Indri indri, Indri brevicaudatus",2.2499514e-06,1.4351099e-07
385,"Indian elephant, Elephas maximus",1.1070535e-08,2.463277e-10
386,"African elephant, Loxodonta africana",2.0211967e-08,1.61441e-09
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",4.2436062e-07,4.310309e-08
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",4.8842304e-07,4.285176e-08
389,"barracouta, snoek",1.2821611e-06,4.3627107e-08
390,eel,2.5596552e-07,6.24031e-09
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.0099192e-05,1.2345551e-07
392,"rock beauty, Holocanthus tricolor",4.6229758e-08,9.718777e-08
393,anemone fish,1.7716461e-08,1.1604348e-08
394,sturgeon,6.3128016e-07,4.4949353e-08
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",4.5566125e-07,6.5386163e-09
396,lionfish,3.696665e-07,6.299949e-08
397,"puffer, pufferfish, blowfish, globefish",3.5800545e-07,1.5122781e-07
398,abacus,4.2707266e-05,1.125736e-05
399,abaya,3.3716394e-06,3.2473721e-07
400,"academic gown, academic robe, judge's robe",1.2288442e-06,3.506028e-06
401,"accordion, piano accordion, squeeze box",7.8050125e-06,7.3683373e-06
402,acoustic guitar,2.2634855e-05,8.936757e-06
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",1.3028483e-07,2.5389955e-09
404,airliner,5.9592315e-07,2.7767476e-07
405,"airship, dirigible",3.0856114e-07,1.373301e-08
406,altar,8.280204e-07,1.02117625e-07
407,ambulance,1.439714e-07,9.037091e-08
408,"amphibian, amphibious vehicle",6.538092e-07,3.2229167e-08
409,analog clock,0.00013477102,5.4873333e-05
410,"apiary, bee house",8.802072e-08,3.8948507e-09
411,apron,5.2806613e-06,1.1959119e-06
412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",0.00015285866,9.4131265e-06
413,"assault rifle, assault gun",4.7293554e-07,2.3520307e-07
414,"backpack, back pack, knapsack, packsack, rucksack, haversack",2.059092e-05,3.3299293e-06
415,"bakery, bakeshop, bakehouse",2.0328807e-06,6.138879e-07
416,"balance beam, beam",9.68336e-06,8.784732e-06
417,balloon,2.235864e-06,1.0252635e-06
418,"ballpoint, ballpoint pen, ballpen, Biro",1.3455096e-05,6.561471e-06
419,Band Aid,8.931418e-05,3.5567107e-05
420,banjo,2.118295e-06,1.0780234e-06
421,"bannister, banister, balustrade, balusters, handrail",0.00013246476,1.0778939e-06
422,barbell,5.893285e-06,4.3963787e-06
423,barber chair,2.3883479e-06,1.1647611e-06
424,barbershop,2.086243e-05,8.065984e-06
425,barn,4.065463e-07,3.4633548e-08
426,barometer,5.5855628e-05,2.2237436e-06
