,imagenet_class,original_score,perturbated_score
302,"ground beetle, carabid beetle",2.0582291e-09,1.978036e-10
303,"long-horned beetle, longicorn, longicorn beetle",6.440915e-10,1.14701575e-10
304,"leaf beetle, chrysomelid",4.7570867e-09,3.1987438e-10
305,dung beetle,1.1535514e-09,3.6357216e-11
306,rhinoceros beetle,5.2439852e-09,3.4995498e-10
307,weevil,1.4890159e-09,6.911503e-11
308,fly,1.7126836e-09,1.2119476e-10
309,bee,9.9744435e-09,4.2165557e-10
310,"ant, emmet, pismire",1.3161188e-09,4.5210988e-10
311,"grasshopper, hopper",4.555845e-09,2.0732091e-10
312,cricket,1.4228466e-09,7.476511e-11
313,"walking stick, walkingstick, stick insect",3.7650227e-10,2.2716726e-11
314,"cockroach, roach",1.903823e-09,4.2694578e-10
315,"mantis, mantid",5.266335e-10,6.3445554e-11
316,"cicada, cicala",8.444925e-10,1.6862586e-11
317,leafhopper,2.2194566e-09,4.819452e-11
318,"lacewing, lacewing fly",4.009865e-10,1.8103375e-11
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",2.6283645e-10,2.280916e-11
320,damselfly,1.8501109e-10,2.9845657e-11
321,admiral,2.6917565e-10,1.0833162e-10
322,"ringlet, ringlet butterfly",1.0420191e-10,6.6714416e-12
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",2.209657e-09,1.6247921e-11
324,cabbage butterfly,1.12678804e-10,6.3565793e-12
325,"sulphur butterfly, sulfur butterfly",1.2716826e-10,5.1317652e-12
326,"lycaenid, lycaenid butterfly",1.1845544e-10,2.939464e-12
327,"starfish, sea star",2.784072e-09,3.9072778e-10
328,sea urchin,6.2157577e-09,9.034492e-11
329,"sea cucumber, holothurian",3.815201e-09,1.4874044e-09
330,"wood rabbit, cottontail, cottontail rabbit",1.2465777e-09,1.9981905e-10
331,hare,1.8734811e-09,9.06468e-11
332,"Angora, Angora rabbit",4.3201225e-09,2.116828e-09
333,hamster,4.8623494e-10,1.788541e-10
334,"porcupine, hedgehog",4.64408e-09,1.7481129e-10
335,"fox squirrel, eastern fox squirrel, Sciurus niger",2.0833399e-10,1.8174543e-11
336,marmot,1.1499157e-09,5.1833142e-11
337,beaver,2.6018352e-09,2.2104919e-10
338,"guinea pig, Cavia cobaya",2.2461502e-09,5.920459e-10
339,sorrel,4.9568705e-10,1.5919108e-11
340,zebra,5.708836e-07,8.638722e-09
341,"hog, pig, grunter, squealer, Sus scrofa",1.0887661e-09,2.193817e-10
342,"wild boar, boar, Sus scrofa",1.4214903e-09,7.358118e-10
343,warthog,2.1685103e-09,6.611452e-11
344,"hippopotamus, hippo, river horse, Hippopotamus amphibius",3.1089742e-09,1.1612034e-09
345,ox,1.4409929e-08,1.3697106e-08
346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",1.2240492e-08,1.6503869e-09
347,bison,1.2753087e-07,8.1515864e-08
348,"ram, tup",7.980095e-09,6.890395e-10
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1.3306382e-08,5.234253e-10
350,"ibex, Capra ibex",3.474456e-09,2.806834e-10
351,hartebeest,6.529717e-10,2.8016657e-11
352,"impala, Aepyceros melampus",1.9431619e-09,3.107497e-11
353,gazelle,1.0815805e-08,8.195007e-11
354,"Arabian camel, dromedary, Camelus dromedarius",3.9569997e-10,1.0006471e-10
355,llama,1.5351018e-09,1.2816646e-10
356,weasel,5.642105e-09,1.7171788e-09
357,mink,1.6783209e-09,3.3959388e-10
358,"polecat, fitch, foulmart, foumart, Mustela putorius",1.8444215e-09,1.4791228e-10
359,"black-footed ferret, ferret, Mustela nigripes",4.8672324e-09,5.232636e-10
360,otter,4.8067026e-09,5.842967e-09
361,"skunk, polecat, wood pussy",4.1390106e-08,4.4238986e-09
362,badger,3.598731e-08,3.0254572e-09
363,armadillo,6.2612955e-09,2.1953658e-10
364,"three-toed sloth, ai, Bradypus tridactylus",1.4795482e-10,1.429715e-11
365,"orangutan, orang, orangutang, Pongo pygmaeus",2.4669874e-10,2.8391168e-11
366,"gorilla, Gorilla gorilla",4.3516538e-10,1.16330424e-10
367,"chimpanzee, chimp, Pan troglodytes",2.063999e-10,7.171696e-11
368,"gibbon, Hylobates lar",1.0927538e-10,1.5891533e-11
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",7.1751265e-11,2.5241082e-11
370,"guenon, guenon monkey",3.089685e-09,1.638974e-10
