,imagenet_class,original_score,perturbated_score
348,"ram, tup",1.6055794e-06,9.190333e-07
349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",4.2960173e-09,2.1005855e-09
350,"ibex, Capra ibex",1.0911502e-08,1.4940139e-09
351,hartebeest,1.055766e-10,3.3556668e-11
352,"impala, Aepyceros melampus",2.58523e-10,1.6732472e-10
353,gazelle,4.8509413e-10,7.1898965e-10
354,"Arabian camel, dromedary, Camelus dromedarius",2.8566167e-09,1.2729407e-08
355,llama,7.7411113e-07,4.1357303e-06
356,weasel,8.938812e-08,2.0261372e-05
357,mink,2.6858794e-08,3.4233662e-07
358,"polecat, fitch, foulmart, foumart, Mustela putorius",7.550986e-09,9.957092e-08
359,"black-footed ferret, ferret, Mustela nigripes",2.4108235e-08,3.0110485e-07
360,otter,1.2415306e-07,2.1720722e-05
361,"skunk, polecat, wood pussy",1.1847261e-08,2.5997972e-08
362,badger,1.0842127e-08,3.7887318e-07
363,armadillo,1.1859123e-09,3.8665884e-10
364,"three-toed sloth, ai, Bradypus tridactylus",6.0006855e-08,6.904052e-08
365,"orangutan, orang, orangutang, Pongo pygmaeus",4.563389e-09,4.0231036e-09
366,"gorilla, Gorilla gorilla",1.4994232e-08,4.8384752e-08
367,"chimpanzee, chimp, Pan troglodytes",1.6943087e-08,5.153292e-08
368,"gibbon, Hylobates lar",4.8876313e-08,1.3649546e-07
369,"siamang, Hylobates syndactylus, Symphalangus syndactylus",5.43902e-09,1.2211498e-09
370,"guenon, guenon monkey",2.7109115e-09,7.2880537e-09
371,"patas, hussar monkey, Erythrocebus patas",3.4383125e-09,8.417813e-09
372,baboon,3.5029586e-09,8.656908e-09
373,macaque,2.7478588e-08,6.51397e-09
374,langur,2.431025e-08,3.3327044e-07
375,"colobus, colobus monkey",5.0424998e-09,1.6073807e-08
376,"proboscis monkey, Nasalis larvatus",1.6288996e-09,9.1084615e-09
377,marmoset,2.9320624e-08,3.9696175e-09
378,"capuchin, ringtail, Cebus capucinus",8.519648e-09,5.2303597e-09
379,"howler monkey, howler",9.9971125e-08,1.2194263e-07
380,"titi, titi monkey",2.7302216e-08,6.1126477e-09
381,"spider monkey, Ateles geoffroyi",1.8223127e-09,1.4153352e-09
382,"squirrel monkey, Saimiri sciureus",1.9960016e-09,1.3804331e-09
383,"Madagascar cat, ring-tailed lemur, Lemur catta",6.9644313e-09,4.3297983e-09
384,"indri, indris, Indri indri, Indri brevicaudatus",5.4161307e-09,2.1310864e-09
385,"Indian elephant, Elephas maximus",1.1991095e-08,1.6075458e-07
386,"African elephant, Loxodonta africana",6.459011e-08,1.9448746e-07
387,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",1.7284798e-09,1.1403947e-09
388,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",5.7025368e-08,2.7602408e-07
389,"barracouta, snoek",2.6565214e-09,3.647551e-09
390,eel,2.0572074e-08,1.07268896e-07
391,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.716237e-08,2.1106027e-08
392,"rock beauty, Holocanthus tricolor",7.7417633e-10,1.9348991e-09
393,anemone fish,1.3692347e-09,4.133341e-10
394,sturgeon,4.759668e-07,2.9395983e-07
395,"gar, garfish, garpike, billfish, Lepisosteus osseus",3.6445786e-09,8.247759e-09
396,lionfish,1.0131058e-09,1.9934505e-09
397,"puffer, pufferfish, blowfish, globefish",1.0287975e-08,3.4776843e-07
398,abacus,5.7450155e-08,5.2946864e-10
399,abaya,1.9653836e-08,3.7224446e-09
400,"academic gown, academic robe, judge's robe",4.4074175e-09,4.1554504e-10
401,"accordion, piano accordion, squeeze box",8.9850495e-08,6.096021e-09
402,acoustic guitar,1.12874545e-08,6.851454e-10
403,"aircraft carrier, carrier, flattop, attack aircraft carrier",2.3161679e-08,4.343951e-09
